,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,K11,SYBR,,Unkn,,,34.69,34.69,0.000,,,,0.00000,72.0,
,K12,SYBR,,Unkn,,,34.09,34.09,0.000,,,,0.00000,72.0,
,K13,SYBR,,Unkn,,,31.65,31.65,0.000,,,,0.00000,72.0,
,K14,SYBR,,Unkn,,,31.24,31.24,0.000,,,,0.00000,72.0,
,K15,SYBR,,Unkn,,,32.22,32.22,0.000,,,,0.00000,72.0,
,K16,SYBR,,Unkn,,,31.45,31.45,0.000,,,,0.00000,72.0,
,K17,SYBR,,Unkn,,,30.96,30.96,0.000,,,,0.00000,72.0,
,K18,SYBR,,Unkn,,,31.03,31.03,0.000,,,,0.00000,72.0,
,K19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L01,SYBR,,Unkn,,,26.30,26.30,0.000,,,,0.00000,72.0,
,L02,SYBR,,Unkn,,,26.08,26.08,0.000,,,,0.00000,72.0,
,L03,SYBR,,Unkn,,,25.75,25.75,0.000,,,,0.00000,72.0,
,L04,SYBR,,Unkn,,,25.22,25.22,0.000,,,,0.00000,72.0,
,L05,SYBR,,Unkn,,,25.11,25.11,0.000,,,,0.00000,72.0,
,L06,SYBR,,Unkn,,,24.02,24.02,0.000,,,,0.00000,72.0,
,L07,SYBR,,Unkn,,,25.33,25.33,0.000,,,,0.00000,72.0,
,L08,SYBR,,Unkn,,,25.02,25.02,0.000,,,,0.00000,72.0,
,L09,SYBR,,Unkn,,,24.97,24.97,0.000,,,,0.00000,72.0,
,L10,SYBR,,Unkn,,,24.47,24.47,0.000,,,,0.00000,72.0,
,L11,SYBR,,Unkn,,,24.70,24.70,0.000,,,,0.00000,72.0,
,L12,SYBR,,Unkn,,,24.54,24.54,0.000,,,,0.00000,72.0,
,L13,SYBR,,Unkn,,,23.20,23.20,0.000,,,,0.00000,72.0,
,L14,SYBR,,Unkn,,,22.78,22.78,0.000,,,,0.00000,72.0,
,L15,SYBR,,Unkn,,,23.04,23.04,0.000,,,,0.00000,72.0,
,L16,SYBR,,Unkn,,,23.37,23.37,0.000,,,,0.00000,72.0,
,L17,SYBR,,Unkn,,,23.09,23.09,0.000,,,,0.00000,72.0,
,L18,SYBR,,Unkn,,,23.11,23.11,0.000,,,,0.00000,72.0,
,L19,SYBR,,Unkn,,,14.25,14.25,0.000,,,,0.00000,72.0,
,L20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M01,SYBR,,Unkn,,,29.86,29.86,0.000,,,,0.00000,72.0,
,M02,SYBR,,Unkn,,,29.31,29.31,0.000,,,,0.00000,72.0,
,M03,SYBR,,Unkn,,,28.29,28.29,0.000,,,,0.00000,72.0,
,M04,SYBR,,Unkn,,,27.25,27.25,0.000,,,,0.00000,72.0,
,M05,SYBR,,Unkn,,,27.14,27.14,0.000,,,,0.00000,72.0,
,M06,SYBR,,Unkn,,,26.56,26.56,0.000,,,,0.00000,72.0,
,M07,SYBR,,Unkn,,,27.12,27.12,0.000,,,,0.00000,72.0,
,M08,SYBR,,Unkn,,,26.67,26.67,0.000,,,,0.00000,72.0,
,M09,SYBR,,Unkn,,,26.26,26.26,0.000,,,,0.00000,72.0,
,M10,SYBR,,Unkn,,,26.48,26.48,0.000,,,,0.00000,72.0,
,M11,SYBR,,Unkn,,,26.47,26.47,0.000,,,,0.00000,72.0,
,M12,SYBR,,Unkn,,,26.23,26.23,0.000,,,,0.00000,72.0,
,M13,SYBR,,Unkn,,,25.48,25.48,0.000,,,,0.00000,72.0,
,M14,SYBR,,Unkn,,,25.34,25.34,0.000,,,,0.00000,72.0,
,M15,SYBR,,Unkn,,,25.63,25.63,0.000,,,,0.00000,72.0,
,M16,SYBR,,Unkn,,,25.47,25.47,0.000,,,,0.00000,72.0,
,M17,SYBR,,Unkn,,,25.22,25.22,0.000,,,,0.00000,72.0,
,M18,SYBR,,Unkn,,,25.15,25.15,0.000,,,,0.00000,72.0,
,M19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N01,SYBR,,Unkn,,,27.94,27.94,0.000,,,,0.00000,72.0,
,N02,SYBR,,Unkn,,,28.00,28.00,0.000,,,,0.00000,72.0,
,N03,SYBR,,Unkn,,,26.26,26.26,0.000,,,,0.00000,72.0,
,N04,SYBR,,Unkn,,,25.10,25.10,0.000,,,,0.00000,72.0,
,N05,SYBR,,Unkn,,,25.59,25.59,0.000,,,,0.00000,72.0,
,N06,SYBR,,Unkn,,,25.36,25.36,0.000,,,,0.00000,72.0,
,N07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,N08,SYBR,,Unkn,,,25.39,25.39,0.000,,,,0.00000,72.0,
,N09,SYBR,,Unkn,,,25.23,25.23,0.000,,,,0.00000,72.0,
,N10,SYBR,,Unkn,,,25.09,25.09,0.000,,,,0.00000,72.0,
