,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,J16,SYBR,,Unkn,,,27.35,27.35,0.000,,,,0.00000,72.0,
,J17,SYBR,,Unkn,,,27.28,27.28,0.000,,,,0.00000,72.0,
,J18,SYBR,,Unkn,,,27.45,27.45,0.000,,,,0.00000,72.0,
,J19,SYBR,,Unkn,,,5.42,5.42,0.000,,,,0.00000,72.0,
,J20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,J21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,J22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,J23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,J24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K01,SYBR,,Unkn,,,33.36,33.36,0.000,,,,0.00000,72.0,
,K02,SYBR,,Unkn,,,34.12,34.12,0.000,,,,0.00000,72.0,
,K03,SYBR,,Unkn,,,33.40,33.40,0.000,,,,0.00000,72.0,
,K04,SYBR,,Unkn,,,33.34,33.34,0.000,,,,0.00000,72.0,
,K05,SYBR,,Unkn,,,33.19,33.19,0.000,,,,0.00000,72.0,
,K06,SYBR,,Unkn,,,33.62,33.62,0.000,,,,0.00000,72.0,
,K07,SYBR,,Unkn,,,33.02,33.02,0.000,,,,0.00000,72.0,
,K08,SYBR,,Unkn,,,34.29,34.29,0.000,,,,0.00000,72.0,
,K09,SYBR,,Unkn,,,32.45,32.45,0.000,,,,0.00000,72.0,
,K10,SYBR,,Unkn,,,32.29,32.29,0.000,,,,0.00000,72.0,
,K11,SYBR,,Unkn,,,33.32,33.32,0.000,,,,0.00000,72.0,
,K12,SYBR,,Unkn,,,34.19,34.19,0.000,,,,0.00000,72.0,
,K13,SYBR,,Unkn,,,34.79,34.79,0.000,,,,0.00000,72.0,
,K14,SYBR,,Unkn,,,34.43,34.43,0.000,,,,0.00000,72.0,
,K15,SYBR,,Unkn,,,33.93,33.93,0.000,,,,0.00000,72.0,
,K16,SYBR,,Unkn,,,34.26,34.26,0.000,,,,0.00000,72.0,
,K17,SYBR,,Unkn,,,35.20,35.20,0.000,,,,0.00000,72.0,
,K18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,K24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L01,SYBR,,Unkn,,,24.02,24.02,0.000,,,,0.00000,72.0,
,L02,SYBR,,Unkn,,,24.75,24.75,0.000,,,,0.00000,72.0,
,L03,SYBR,,Unkn,,,24.08,24.08,0.000,,,,0.00000,72.0,
,L04,SYBR,,Unkn,,,24.84,24.84,0.000,,,,0.00000,72.0,
,L05,SYBR,,Unkn,,,24.74,24.74,0.000,,,,0.00000,72.0,
,L06,SYBR,,Unkn,,,23.88,23.88,0.000,,,,0.00000,72.0,
,L07,SYBR,,Unkn,,,24.33,24.33,0.000,,,,0.00000,72.0,
,L08,SYBR,,Unkn,,,24.05,24.05,0.000,,,,0.00000,72.0,
,L09,SYBR,,Unkn,,,24.02,24.02,0.000,,,,0.00000,72.0,
,L10,SYBR,,Unkn,,,23.95,23.95,0.000,,,,0.00000,72.0,
,L11,SYBR,,Unkn,,,24.03,24.03,0.000,,,,0.00000,72.0,
,L12,SYBR,,Unkn,,,23.87,23.87,0.000,,,,0.00000,72.0,
,L13,SYBR,,Unkn,,,24.45,24.45,0.000,,,,0.00000,72.0,
,L14,SYBR,,Unkn,,,23.68,23.68,0.000,,,,0.00000,72.0,
,L15,SYBR,,Unkn,,,23.72,23.72,0.000,,,,0.00000,72.0,
,L16,SYBR,,Unkn,,,24.40,24.40,0.000,,,,0.00000,72.0,
,L17,SYBR,,Unkn,,,23.98,23.98,0.000,,,,0.00000,72.0,
,L18,SYBR,,Unkn,,,24.03,24.03,0.000,,,,0.00000,72.0,
,L19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L20,SYBR,,Unkn,,,29.51,29.51,0.000,,,,0.00000,72.0,
,L21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,L24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,M01,SYBR,,Unkn,,,27.45,27.45,0.000,,,,0.00000,72.0,
,M02,SYBR,,Unkn,,,28.02,28.02,0.000,,,,0.00000,72.0,
,M03,SYBR,,Unkn,,,26.21,26.21,0.000,,,,0.00000,72.0,
,M04,SYBR,,Unkn,,,27.34,27.34,0.000,,,,0.00000,72.0,
,M05,SYBR,,Unkn,,,27.02,27.02,0.000,,,,0.00000,72.0,
,M06,SYBR,,Unkn,,,26.16,26.16,0.000,,,,0.00000,72.0,
,M07,SYBR,,Unkn,,,25.97,25.97,0.000,,,,0.00000,72.0,
,M08,SYBR,,Unkn,,,25.49,25.49,0.000,,,,0.00000,72.0,
,M09,SYBR,,Unkn,,,25.43,25.43,0.000,,,,0.00000,72.0,
,M10,SYBR,,Unkn,,,25.10,25.10,0.000,,,,0.00000,72.0,
,M11,SYBR,,Unkn,,,25.51,25.51,0.000,,,,0.00000,72.0,
,M12,SYBR,,Unkn,,,25.43,25.43,0.000,,,,0.00000,72.0,
,M13,SYBR,,Unkn,,,25.98,25.98,0.000,,,,0.00000,72.0,
